species,population.ID,taxon,Citation,Life.Stage,Sex.Ratio,SuperTaxa,LifeHistory,N,sex.determination,SDM.Type,SDM.Type.conservative,sex.det.source,Notes
Mauremys_reevesii,352,turtles,"373, m53",juvenile.sex.ratio,0.32,crocoturtle,CTT,96,TSD,TSD Ia,TSD Ia,species.in.TreeOfSex,NA
Mauremys_reevesii,ROSIE36,turtles,"Ishihara, S. (1985). Temperature dependent sex determination of the freshwater turtle, Chinemys reevesii, in the terrarium. Japanese Journal of Herpetology, 11(2), 62.",birth.sex.ratio,0.54368932,crocoturtle,CTT,102,TSD,TSD Ia,TSD Ia,species.in.TreeOfSex,NA
Meroles_anchietae,353,lizards,183184,adult.sex.ratio,0.553,squamatara,S,559,GSD,GSD,GSD,genus.or.family.in.TreeOfSex,NA
Meroles_cuneirostris,354,lizards,183184,adult.sex.ratio,0.554,squamatara,S,204,GSD,GSD,GSD,species.in.TreeOfSex,NA
Morelia_viridis,355,snakes,g32,adult.sex.ratio,0.577,squamatara,S,97,GSD,GSD,GSD,genus.or.family.in.TreeOfSex,NA
Natator_depressus,ROSIE37,turtles,"Stubbs, J. L., Kearney, M. R., Whiting, S. D., & Mitchell, N. J. (2014). Models of primary sex ratios at a major flatback turtle rookery show an anomalous masculinising trend. Climate Change Responses, 1(1), 3.",birth.sex.ratio,0.166666667,crocoturtle,CTT,138,TSD,TSD Ia,TSD Ia,species.in.TreeOfSex,NA
Natrix_natrix,358,snakes,v26,adult.sex.ratio,0.539,squamatara,S,334,GSD,GSD,GSD,species.in.TreeOfSex,NA
Natrix_natrix,358,snakes,v26,juvenile.sex.ratio,0.316,squamatara,S,76,GSD,GSD,GSD,species.in.TreeOfSex,NA
Natrix_natrix,358,snakes,v26,birth.sex.ratio,0.48,squamatara,S,294,GSD,GSD,GSD,species.in.TreeOfSex,NA
Natrix_natrix,356,snakes,g35,birth.sex.ratio,0.503,squamatara,S,124,GSD,GSD,GSD,species.in.TreeOfSex,NA
Natrix_natrix,357,snakes,v25,adult.sex.ratio,0.676,squamatara,S,58,GSD,GSD,GSD,species.in.TreeOfSex,NA
Nerodia_rhombifer,360,snakes,v27,birth.sex.ratio,0.524,squamatara,S,42,GSD,GSD,GSD,genus.or.family.in.TreeOfSex,NA
Nerodia_rhombifer,359,snakes,g1217,birth.sex.ratio,0.53,squamatara,S,357,GSD,GSD,GSD,genus.or.family.in.TreeOfSex,NA
Nerodia_rhombifer,360,snakes,v27,adult.sex.ratio,0.457,squamatara,S,127,GSD,GSD,GSD,genus.or.family.in.TreeOfSex,NA
Nerodia_rhombifer,360,snakes,v27,juvenile.sex.ratio,0.28,squamatara,S,25,GSD,GSD,GSD,genus.or.family.in.TreeOfSex,NA
Nerodia_sipedon,362,snakes,"95, new61, new62",birth.sex.ratio,0.482,squamatara,S,1704,GSD,GSD,GSD,genus.or.family.in.TreeOfSex,NA
Nerodia_sipedon,362,snakes,"95, new61, new62",adult.sex.ratio,0.655,squamatara,S,807,GSD,GSD,GSD,genus.or.family.in.TreeOfSex,NA
Nerodia_sipedon,361,snakes,g39,juvenile.sex.ratio,0.522,squamatara,S,23,GSD,GSD,GSD,genus.or.family.in.TreeOfSex,NA
Nerodia_taxispilota,364,snakes,na7,adult.sex.ratio,0.608,squamatara,S,744,GSD,GSD,GSD,genus.or.family.in.TreeOfSex,NA
Niveoscincus_ocellatus,MT2,lizards,"Cunningham, G. D., While, G. M. & Wapstra, E. Climate and sex ratio variation in a viviparous lizard. Biol. Lett. 13, 2015â€“2018 (2017).",birth.sex.ratio,0.53,squamatara,S,3379,TSD,TSD Ib,TSD Ib,species.in.TreeOfSex,NA
Notechis_scutatus,365,snakes,97,adult.sex.ratio,0.733,squamatara,S,292,GSD,GSD,GSD,species.in.TreeOfSex,NA
Opheodrys_aestivus,367,snakes,"new87, new88",adult.sex.ratio,0.51,squamatara,S,323,GSD,GSD,GSD,genus.or.family.in.TreeOfSex,NA
Opheodrys_aestivus,367,snakes,"new87, new88",juvenile.sex.ratio,0.5,squamatara,S,78,GSD,GSD,GSD,genus.or.family.in.TreeOfSex,NA
Opheodrys_aestivus,367,snakes,"new87, new88",birth.sex.ratio,0.475,squamatara,S,141,GSD,GSD,GSD,genus.or.family.in.TreeOfSex,NA
Pelodiscus_sinensis,374,turtles,1016,birth.sex.ratio,0.514,crocoturtle,CTT,296,GSD,GSD,GSD,species.in.TreeOfSex,NA
Pelodiscus_sinensis,371,turtles,1016,birth.sex.ratio,0.514,crocoturtle,CTT,220,GSD,GSD,GSD,species.in.TreeOfSex,NA
Pelodiscus_sinensis,372,turtles,1016,birth.sex.ratio,0.406,crocoturtle,CTT,143,GSD,GSD,GSD,species.in.TreeOfSex,NA
Pelodiscus_sinensis,370,turtles,1016,birth.sex.ratio,0.526,crocoturtle,CTT,234,GSD,GSD,GSD,species.in.TreeOfSex,NA
Pelodiscus_sinensis,373,turtles,1016,birth.sex.ratio,0.456,crocoturtle,CTT,114,GSD,GSD,GSD,species.in.TreeOfSex,NA
Pelodiscus_sinensis,375,turtles,1016,birth.sex.ratio,0.516,crocoturtle,CTT,364,GSD,GSD,GSD,species.in.TreeOfSex,NA
Pelodiscus_sinensis,369,turtles,1015,birth.sex.ratio,0.509,crocoturtle,CTT,116,GSD,GSD,GSD,species.in.TreeOfSex,NA
Phelsuma_madagascariensis,376,lizards,1025,adult.sex.ratio,0.457,squamatara,S,46,TSD,TSD II,TSD II,species.in.TreeOfSex,written as Phelsuma madagascariensis grandis in tree of sex
Phrynosoma_cornutum,377,lizards,1053ab,juvenile.sex.ratio,0.469,squamatara,S,32,GSD,GSD,GSD,genus.or.family.in.TreeOfSex,NA
Phrynosoma_cornutum,377,lizards,1053ab,adult.sex.ratio,0.474,squamatara,S,97,GSD,GSD,GSD,genus.or.family.in.TreeOfSex,NA
Pituophis_melanoleucus,378,snakes,g72,birth.sex.ratio,0.567,squamatara,S,97,GSD,GSD,GSD,genus.or.family.in.TreeOfSex,NA
Podarcis_bocagei,380,lizards,"277, m54",juvenile.sex.ratio,0.387,squamatara,S,117,GSD,GSD,GSD,genus.or.family.in.TreeOfSex,NA
Podarcis_bocagei,380,lizards,"277, m54",adult.sex.ratio,0.363,squamatara,S,48,GSD,GSD,GSD,genus.or.family.in.TreeOfSex,NA
Podarcis_bocagei,380,lizards,"277, m54",birth.sex.ratio,0.511,squamatara,S,174,GSD,GSD,GSD,genus.or.family.in.TreeOfSex,NA
Podarcis_hispanica,381,lizards,238,birth.sex.ratio,0.57,squamatara,S,86,GSD,GSD,GSD,species.in.TreeOfSex,NA
Podarcis_muralis,384,lizards,g48,adult.sex.ratio,0.437,squamatara,S,135,GSD,GSD,GSD,genus.or.family.in.TreeOfSex,NA
Podarcis_muralis,386,lizards,117,adult.sex.ratio,0.578,squamatara,S,97,GSD,GSD,GSD,genus.or.family.in.TreeOfSex,NA
Podarcis_muralis,382,lizards,"116, 280",adult.sex.ratio,0.604,squamatara,S,106,GSD,GSD,GSD,genus.or.family.in.TreeOfSex,NA
Podarcis_muralis,383,lizards,g41,birth.sex.ratio,0.517,squamatara,S,29,GSD,GSD,GSD,genus.or.family.in.TreeOfSex,NA
Podarcis_muralis,385,lizards,118,adult.sex.ratio,0.556,squamatara,S,54,GSD,GSD,GSD,genus.or.family.in.TreeOfSex,NA
Podarcis_muralis,384,lizards,g48,juvenile.sex.ratio,0.498,squamatara,S,267,GSD,GSD,GSD,genus.or.family.in.TreeOfSex,NA
Podarcis_sicula,388,lizards,119,adult.sex.ratio,0.569,squamatara,S,102,GSD,GSD,GSD,genus.or.family.in.TreeOfSex,NA
Podocnemis_erythrocephala,389,turtles,"120, m56",adult.sex.ratio,0.329,crocoturtle,CTT,3669,TSD,TSD Ia,TSD Ia,species.in.TreeOfSex,NA
Podocnemis_expansa,2098,turtles,2098new,birth.sex.ratio,0.347,crocoturtle,CTT,386,TSD,TSD Ia,TSD Ia,species.in.TreeOfSex,NA
Podocnemis_expansa,390,turtles,g66,adult.sex.ratio,0.589,crocoturtle,CTT,265,TSD,TSD Ia,TSD Ia,species.in.TreeOfSex,NA
Podocnemis_expansa,2094,turtles,2094,birth.sex.ratio,0.069,crocoturtle,CTT,173,TSD,TSD Ia,TSD Ia,species.in.TreeOfSex,NA
Podocnemis_expansa,ROSIE39,turtles,"Malvasio, A., do Nascimento-Rocha, J. M., Santos, H. D., de Ataídes, A. G., Portelinha, T. C. G. (2012). Morphometry and histology of the gonads of males and females hatchlings of Podocnemis expansa and Podocnemis. unifilis (Testudines, Podocnemididae). Acta Scientiarum, 34(1), 105-112.",birth.sex.ratio,0.187165775,crocoturtle,CTT,187,TSD,TSD Ia,TSD Ia,species.in.TreeOfSex,NA
Podocnemis_expansa,390,turtles,g66,juvenile.sex.ratio,0.289,crocoturtle,CTT,380,TSD,TSD Ia,TSD Ia,species.in.TreeOfSex,NA
Podocnemis_expansa,2093,turtles,2093,birth.sex.ratio,0.622,crocoturtle,CTT,90,TSD,TSD Ia,TSD Ia,species.in.TreeOfSex,NA
Podocnemis_expansa,ROSIE41,turtles,"Raeder, F. L., & Bisaggio, E. L. (2011). Projeto Quelônios da Amazônia em Costa Marques/RO - Base Praia Alta, Rio Guaporé. 1° WORKSHOP: ESTRATÉGIAS PARA CONSERVAÇÃO DE QUELÔNIOS DA AMAZÔNIA: PROTEÇÃO DE PRAIAS",birth.sex.ratio,0.056179775,crocoturtle,CTT,200,TSD,TSD Ia,TSD Ia,species.in.TreeOfSex,NA
Podocnemis_expansa,ROSIE38,turtles,"Carneiro, C. C. (2012). Influência do ambiente de nidificação sobre a taxa de eclosão, a duração da incubação e a determinação sexual em Podocnemis (Reptilia, Podocnemididae) no Tabuleiro do Embaubal Rio Xingu, Pará (Master's thesis, Universidade Federal do Pará, Belém, Brasil). Retrieved from http://ppgeap.propesp.ufpa.br/ARQUIVOS/dissertacoes/2012/PPGEAP_Dissertacao_Cristiane_Costa_Carneriro_2010_a_2012%2014.05.2012.pdf",birth.sex.ratio,0.026666667,crocoturtle,CTT,300,TSD,TSD Ia,TSD Ia,species.in.TreeOfSex,NA
Podocnemis_expansa,ROSIE40,turtles,"Malvasio, A., Souza, A. M., Ferreira Junior, P. D., Reis, E. S., Sampaio, F. A. A. (2002). Temperatura de incubação dos ovos e granulometria dos sedimentos das covas relacionadas a determinação sexual em Podocnemis expansa (Schweigger, 1812) e P. unifilis (Troschel, 1848) (Testudines, Pelomedusidae). Publicações Avulsas do Instituto Pau Brasil de Historia Natural, 5, 11-25.",birth.sex.ratio,0.412987013,crocoturtle,CTT,385,TSD,TSD Ia,TSD Ia,species.in.TreeOfSex,NA
Podocnemis_expansa,2089def,turtles,2089,birth.sex.ratio,0.027,crocoturtle,CTT,300,TSD,TSD Ia,TSD Ia,species.in.TreeOfSex,NA
Podocnemis_lewyana,ROSIE42,turtles,"Páez, V. P., Correa, J. C., Cano, A. M., & Bock, B. C. (2009). A comparison of maternal and temperature effects on sex, size, and growth of hatchlings of the Magdalena River turtle (Podocnemis lewyana) incubated under field and controlled laboratory conditions. Copeia, 2009(4), 698-704.",birth.sex.ratio,0.245210728,crocoturtle,CTT,261,TSD,TSD Ia,TSD Ia,species.in.TreeOfSex,NA
Podocnemis_lewyana,2085b,turtles,2085,adult.sex.ratio,0.557,crocoturtle,CTT,201,TSD,TSD Ia,TSD Ia,species.in.TreeOfSex,NA
Podocnemis_sextuberculata,2089abc,turtles,2089,birth.sex.ratio,0.163,crocoturtle,CTT,135,TSD,TSD Ia,TSD Ia,species.in.TreeOfSex,NA
Podocnemis_sextuberculata,"2087a,c",turtles,2087,juvenile.sex.ratio,0.141,crocoturtle,CTT,320,TSD,TSD Ia,TSD Ia,species.in.TreeOfSex,NA
Podocnemis_sextuberculata,ROSIE44,turtles,"Eisemberg, C. C., Drummond, G. M., & Vogt, R. C. (2017). Boosting female hatchling production in endangered, male‐biased turtle populations. Wildlife Society Bulletin, 41(4), 810-815.",birth.sex.ratio,0.48,crocoturtle,CTT,150,TSD,TSD Ia,TSD Ia,species.in.TreeOfSex,NA
Podocnemis_sextuberculata,ROSIE43,turtles,"Andrade, P. C. M. (2017). Efeitos da transferência de ninhos de Podocnemis unifilis, P. sextuberculata e P. expansa no lago do Piraruacá, Terra Santa, Brasil. In P. C. M. Andrade (Ed.), Manejo comunitário de quelônios no Médio Amazonas: Projeto Pé-de-pincha (pp. 208-260). Manaus/AM.",birth.sex.ratio,0.8,crocoturtle,CTT,65,TSD,TSD Ia,TSD Ia,species.in.TreeOfSex,NA
